tanggal_tweet,pengguna,isi_tweet,sentimen
2021-11-16 17:46:05,kissdateoperate,"RT @NovelSci: 1/ As has always been the case, anti-vaccine influencers rake it in big time. The Anti-Vaxx industry boasts annual revenues o…",netral
2021-11-16 17:46:04,moneyriesmoneyries,"RT @EricTopol: The problem with vaccine waning 4-6 months later was 1st recognized in Israel in July, confirmed by more than 10 reports, an…RT @EricTopol: The problem with vaccine waning 4-6 months later was 1st recognized in Israel in July, confirmed by more than 10 reports, an…",positif
2021-11-16 17:46:04,grgpetrogrgpetro,RT @RWMaloneMD: Vaccine Mandates are Unethical \nhttps://t.co/EO6Z1rfoShRT @RWMaloneMD: Vaccine Mandates are Unethical \nhttps://t.co/EO6Z1rfoSh,netral
2021-11-16 17:46:04,luvmelanin,I haven’t seen a single black person in the gym since the vaccine mandate,negatif
2021-11-16 17:46:04,dave_donnell,RT @ActingTheGom: People:\nComplied with lockdown after lockdown\n\nGot vaccine en masse as soon as possible.\n\nDid everything asked of them as…,netral
2021-11-16 17:46:03,kneestothebees,"RT @EM_RESUS: Hi, ER Doc here.\n\nI’ve intubated a lot of patients who regretted not getting the vaccine. \n\nNever intubated a single patient…",negatif
2021-11-16 17:46:03,KennyBlye,"@CNN At least they admitted it was experimental, unlike the “vaccine”",negatif
2021-11-16 17:46:03,realArmandKlein,RT @jd61205: Hundreds of shoes and handwritten notes at a California school representing the children who will be leaving if the vaccine ma…,netral
2021-11-16 17:46:02,villainhore,RT @Telegraph: 🧠A vaccine against Alzheimer’s disease could be on the horizon after scientists carried out successful trials in animals.\n\nR…,positif
2021-11-16 17:46:02,kat223,RT @kylegriffin1: Arkansas is expanding the eligibility for COVID vaccine boosters to anyone aged 18 and older.,positif
2021-11-16 17:46:02,Patkag145170,RT @TheKarlSvensson: @Unfinishedsen18 @nakamoto_sir @NewGranada1979 @Tony__Heller That's because it did. Wake up for God's sake. As a vacc…,netral
2021-11-16 17:46:02,LenaweeHD,"If you are having difficulty getting the COVID-19 vaccine or booster shot, call our vaccine hotline at 517-264-4501. https://t.co/Pzx1V9LEUB",netral
2021-11-16 17:46:02,AKIndia247,"RT @Article14live: #Covaxin, world’s cheapest vaccine in terms of investment, is among the world’s costliest. Read @AgaAniket &amp; @Chitrangad…",netral
2021-11-16 17:46:01,xeoth,"RT @SarahTaber_bww: We could have missed out on speedy COVID vaccine development, just because the inventor's boss was a petty little bitch.",negatif
2021-11-16 17:46:01,Balgor11,"RT @aetiology: Tired of negative stories re COVID shots for kids, so I spoke with science/health professionals @ViralCarmichael, @Theresa_C…",negatif
2021-11-16 17:46:01,Wlecker,RT @TripleThreat_MD: I didn’t fully understand the true impacts of long haul COVID-19 in children until starting my rotation in pediatric c…,positif
2021-11-16 17:46:01,donnastwit,RT @BuckSexton: The geniuses who brought you “Lysol your groceries” and “mask up between bites” are the same ones absolutely demanding cens…,positif
2021-11-16 17:46:01,MicahKolding,"@imrobin22 @gailbugtx @LiveOnTheChat The world has had a year to reflect on the vaccine, and ""opinions"" don\'t facto… https://t.co/qyo8quUZRi'",netral
2021-11-16 17:46:01,ventiwhorechata,"RT @Telegraph: 🗣️Professor Carr added: “While the science is currently still at an early stage, if these results were to be replicated in h…",positif
2021-11-16 17:46:00,junoinscorpio,RT @DrTonyLeachon: The Effectiveness of one booster dose against COVID - 19 for Sinovac vaccine recipients in CHILE \n\n* FINDINGS by the Chi…,netral
